Name	Set	ImageFile	TrueName	Type	Serial	Rarity	School	Level	Cost	Race	Attack	Defense	Flavor	Ability1	Ability2	Ability3	Ability4
Aria Citrus (Lv1)	BP02	BP02-001	Aria Itsuki	Caster	BP02-001	R	Solis	1	n/a	n/a	n/a	n/a	Shino! Let's practice together!	"[Rest], banish this card: Search your deck for a Lv1 card named ""Kiro Centura"" and put it into the field. Then shuffle your deck. Play this ability only if you don't control a card named ""Kiro Centura""."			
Gentry Gold (Lv1)	BP02	BP02-002	An Mitarashi	Caster	BP02-002	R	Solis	1	n/a	n/a	n/a	n/a	Sakuya, today I'll teach you about astronomy and blind spots.	[Rest]: Reveal the top card of your deck. If it's a Genji, put it into your hand. Otherwise, put it into an allied graveyard.			
Lilia Chocolate (Lv1)	BP02	BP02-003	Mao Mizoguruchi	Caster	BP02-003	SR	Solis	1	n/a	n/a	n/a	n/a	I won't lose in swimming to Momoka today!	[Rest]: Remove a number of Sweets in an allied graveyard from the game equal to the cost of target enemy servant. If you do, destroy that servant. Play this ability only during an allied main phase.			
Sunny (Lv2)	BP02	BP02-004	Hitori Kusaka	Caster	BP02-004	UR	Solis	2	n/a	n/a	n/a	n/a	I won't forgive anyone who hurts Rikocchi.	"Banish another ""Sunny"": Target enemy player discards a card. Play this ability only during main timing."	[Rest]: Put target servant with a cost of 3 or less from an enemy graveyard into an allied servant zone if that servant was discarded from an enemy hand this turn.	"Banish another ""Sunny"": Target enemy player discards a card. Play this ability only during main timing."	[Rest]: Put target servant with a cost of 3 or less from an enemy graveyard into an allied servant zone if that servant was discarded from an enemy hand this turn.
Tomoe	BP02	BP02-005	n/a	Servant	BP02-005	C	Solis	n/a	2	Heroic Spirit/Genji	1000	1000	Allow me to show you the final battle.	"[Enter] ? Search your deck for up to four Genji servants not named ""Tomoe"" and reveal them. Then shuffle the rest of your deck and put the revealed cards on top of your deck in any order."			
Yoshinaka	BP02	BP02-006	n/a	Servant	BP02-006	C	Solis	n/a	3	Heroic Spirit/Genji	2000	1000	I shall serve you ever faithfully.	"[Last Words] ? Put target Genji not named ""Yoshinaka"" from an allied graveyard into your hand."			
P?tissier	BP02	BP02-007	n/a	Servant	BP02-007	C	Solis	n/a	4	Sweets	2000	2000	Hm? Did that taste bad?	[Enter] ? Target enemy player discards two cards.			
Gyoza Tiger	BP02	BP02-008	n/a	Servant	BP02-008	C	Solis	n/a	5	Cryptid	4000	0	Be wary not to burn your tongue on the juices.	[Last Words] ? Destroy target servant.			
Lapse of Memory	BP02	BP02-009	n/a	Conjure	BP02-009	U	Solis	n/a	1	n/a	n/a	n/a	Huh? What was that?	Target enemy player reveals their hand. Choose a conjure card. They discard that card.	Target enemy player reveals their hand. Choose a conjure card. They discard that card.		
Swallow Whole	BP02	BP02-010	n/a	Conjure	BP02-010	U	Solis	n/a	1	n/a	n/a	n/a	My stomach is so full...	Destroy target servant. If you do, banish a caster.	Destroy target servant. If you do, banish a caster.		
Dealings With Demons	BP02	BP02-011	n/a	Conjure	BP02-011	U	Solis	n/a	2	n/a	n/a	n/a	A trade of an orb.	As an additional cost to play this card, banish an orb.	Search your deck for a card and put it into your hand. Then shuffle your deck.	As an additional cost to play this card, banish an orb.	Search your deck for a card and put it into your hand. Then shuffle your deck.
Flambe (Lv1)	BP02	BP02-012	Tamaki Mioshi	Caster	BP02-012	R	Ignus	1	n/a	n/a	n/a	n/a	Welcome, Niina!	"[Rest], banish this card: Search your deck for a Lv1 card named ""Stella"" and put it into the field. Then shuffle your deck. Play this ability only if you don't control a card named ""Stella""."			
Vega Scarlet Star (Lv1)	BP02	BP02-013	Kotono Kyobeni	Caster	BP02-013	SR	Ignus	1	n/a	n/a	n/a	n/a	For Miwa-sama, I would do anything.	[Rest], banish an orb: Corrupt target orb.			
Risa Tarivan (Lv1)	BP02	BP02-014	Homura Enjyo	Caster	BP02-014	R	Ignus	1	n/a	n/a	n/a	n/a	I will see my will done.	[Rest]: Target Genji gains +1000 ATK until end of turn.			
Carella (Lv2)	BP02	BP02-015	Jyun Fujinami	Caster	BP02-015	UR	Ignus	2	n/a	n/a	n/a	n/a	Leave this to me!	"Banish another ""Carella"": Target allied servant gains +1000 ATK until end of turn."	[Rest], discard a caster: Destroy target enemy servant with a cost of 2 or less.	"Banish another ""Carella"": Target allied servant gains +1000 ATK until end of turn."	[Rest], discard a caster: Destroy target enemy servant with a cost of 2 or less.
Sun Wukong	BP02	BP02-016	n/a	Servant	BP02-016	C	Ignus	n/a	3	Heroic Spirit	2000	0	Magical battles sure are exciting.	[Enter] ? Search your deck for a Youkai with a cost of 1, reveal it and put it into your hand. Then shuffle your deck.			
Yoshitomo	BP02	BP02-017	n/a	Servant	BP02-017	C	Ignus	n/a	4	Heroic Spirit/Genji	3000	1000	Kiyomori...	[Enter] ? Reveal the top four cards of your deck. Put all revealed Genjis from among them into your hand. Put the rest on the bottom of your deck in any order. (When this card enters the field ? Perform the effect.)			
Yoritomo	BP02	BP02-018	n/a	Servant	BP02-018	C	Ignus	n/a	5	Heroic Spirit/Genji	1000	1000	He who thinks not of trivialities. Wastes no time on small faults.	[Enter] ? Search your deck for up to two Genjis with a cost of 1 and put them into the field. Then shuffle your deck. (When this card enters the field ? Perform the effect.)			
High Priest TENGU48	BP02	BP02-019	n/a	Servant	BP02-019	C	Ignus	n/a	5	Tengu	3000	3000	Joining the ranks of the TENGU48 is an irreplacable treasure.	At end of turn ? Put this card into its owner's hand.	[Enter] ? Rest all reversed enemy servants and reverse any non-reversed enemy servants.	At end of turn ? Put this card into its owner's hand.	[Enter] ? Rest all reversed enemy servants and reverse any non-reversed enemy servants.
Raging Flame Counterattack	BP02	BP02-020	n/a	Conjure	BP02-020	U	Ignus	n/a	2	n/a	n/a	n/a	Moths to a flame.	[Quickcast] (You may play this card any time you have priority.)	Destroy target enemy servant attacking you.	[Quickcast] (You may play this card any time you have priority.)	Destroy target enemy servant attacking you.
Clothing Combustion	BP02	BP02-021	n/a	Conjure	BP02-021	U	Ignus	n/a	3	n/a	n/a	n/a	Kyaaaa!	Turn target face up Lv1 caster face down. If you do, that caster's controller puts the top card of their deck into their caster zone face down and rested, as a caster.	Turn target face up Lv1 caster face down. If you do, that caster's controller puts the top card of their deck into their caster zone face down and rested, as a caster.		
Passion of Genji	BP02	BP02-022	n/a	Barrier	BP02-022	U	Ignus	n/a	5	n/a	n/a	n/a	The time has come for the Kamakura's return.	Banish a Genji: Corrupt target enemy orb. Play this ability only during main timing.			
Solol Baton (Lv1)	BP02	BP02-023	waka Koujiya	Caster	BP02-023	SR	Silva	1	n/a	n/a	n/a	n/a	Morning, Tamaki!	[Rest]: Target enemy player discards a card if a servant was returned to a player's hand from a servant zone this turn.			
Nadeshiko (Lv1)	BP02	BP02-024	Hirari Sakota	Caster	BP02-024	R	Silva	1	n/a	n/a	n/a	n/a	Kurumizawa, you always help me feel at ease.	[Rest]: Produce one aether of any element. Spend this aether only to play Genji and Heishi servants.			
Roseria Bell (Lv1)	BP02	BP02-025	Rinko Kanesaki	Caster	BP02-025	R	Silva	1	n/a	n/a	n/a	n/a	Let's have Misora show us some more magic!	"[Rest], banish this card: Search your deck for a Lv1 card named ""Miu"" and put it into the field. Then shuffle your deck. Play this ability only if you don't control a card named ""Miu""."			
Chain of Hearts (Lv2)	BP02	BP02-026	Haruka Yanase	Caster	BP02-026	UR	Silva	2	n/a	n/a	n/a	n/a	And just like that, it's over!	"Banish another ""Chain of Hearts"": You may pay [2] less to play your next Silva conjure this turn. (The cost can't be reduced lower than 1.)"	[Rest]: Put a servant with a cost of 3 or less from your hand into the field if an enemy servant was put into its owner's hand from the field this turn.	"Banish another ""Chain of Hearts"": You may pay [2] less to play your next Silva conjure this turn. (The cost can't be reduced lower than 1.)"	[Rest]: Put a servant with a cost of 3 or less from your hand into the field if an enemy servant was put into its owner's hand from the field this turn.
Biwa Monk	BP02	BP02-027	n/a	Servant	BP02-027	C	Silva	n/a	1	Monk/Heishi	0	500	The echoing sounds speak to the impermanence of all things.	Continuous	[Slow Start] (This card cannot attack the turn it is played to the field.)	"[Last Words] ? Search your deck for a Heishi not named ""Biwa Monk"", reveal it and put it into your hand. Then shuffle your deck. (When this card is put into a graveyard from the field ? Perform the effect.)"	
Bear Boy	BP02	BP02-028	n/a	Servant	BP02-028	C	Silva	n/a	3	Cryptid	3000	3000	Let's all just do as we please.	Continuous	[Slow Start] (This card cannot attack the turn it is played to the field.)	Continuous	[Slow Start] (This card cannot attack the turn it is played to the field.)
Benkei	BP02	BP02-029	n/a	Servant	BP02-029	C	Silva	n/a	4	Monk/Genji	3000	0	Born in the Kii province, raised on Mt. Hiei. A loyal friend to the Genji.	[Enter] ? Target enemy servant gains -2000 ATK until end of turn.			
Tale of the Heike	BP02	BP02-030	n/a	Conjure	BP02-030	C	Silva	n/a	1	n/a	n/a	n/a	The brightest stars burn the quickest.	Look at the top five cards of your deck. You may reveal a Heishi from among them and put it into your hand. Put the rest on the bottom of your deck in any order.	Look at the top five cards of your deck. You may reveal a Heishi from among them and put it into your hand. Put the rest on the bottom of your deck in any order.		
Zero Motivation	BP02	BP02-031	n/a	Conjure	BP02-031	U	Silva	n/a	1	n/a	n/a	n/a	You're leaving already?	[Quickcast] (You may play this card any time you have priority.)	Return target servant to its owner's hand. That owner draws a card.	[Quickcast] (You may play this card any time you have priority.)	Return target servant to its owner's hand. That owner draws a card.
Just a Short Rest	BP02	BP02-032	n/a	Conjure	BP02-032	U	Silva	n/a	2	n/a	n/a	n/a	Alright, I'll work hard tomorrow.	[Quickcast] (You may play this card any time you have priority.)	Recovered and rested servants you control can't be attacked this turn.	[Quickcast] (You may play this card any time you have priority.)	Recovered and rested servants you control can't be attacked this turn.
San Tonal (Lv1)	BP02	BP02-033	Saki Kurumizawa	Caster	BP02-033	R	Terra	1	n/a	n/a	n/a	n/a	Hirari~ Let's cram for the end of the semester~	"[Rest], banish this card: Search your deck for a Lv1 card named ""Luna Esperansa"" and put it into the field. Then shuffle your deck. Play this ability only if you don't control a card named ""Luna Esperansa."""			
Shura Psyche (Lv1)	BP02	BP02-034	Yume Ihara	Caster	BP02-034	R	Terra	1	n/a	n/a	n/a	n/a	Homura! Nachiru! Let's eat on the room again	[Rest]: Target Heishi gains +1000 ATK until end of turn.			
Haru Michelle (Lv1)	BP02	BP02-035	Haru Saeki	Caster	BP02-035	SR	Terra	1	n/a	n/a	n/a	n/a	Fufu. Oh, Tomoka, fufu.	[Rest]: Corrupt target enemy orb if your opponent played a conjure this turn.			
Miu (Lv2)	BP02	BP02-036	Misora Hiralwa	Caster	BP02-036	UR	Terra	2	n/a	n/a	n/a	n/a	Butterfly Illusion!	"Banish another ""Miu"": Put all cards in your hand on the bottom of your deck in any order. Then draw that many cards."	[Rest]: Destroy target non-Insect servant if an Insect servant you control was destroyed this turn.	"Banish another ""Miu"": Put all cards in your hand on the bottom of your deck in any order. Then draw that many cards."	[Rest]: Destroy target non-Insect servant if an Insect servant you control was destroyed this turn.
Tadamori	BP02	BP02-037	n/a	Servant	BP02-037	C	Terra	n/a	2	Heroic Spirit/Heishi	2000	0	Laying the foundation for for the second coming of the Heishi.	Continuous	[Hubris] (Cards with [Hubris] may attack enemy players even if there are reversed enemy servants.)	Continuous	[Hubris] (Cards with [Hubris] may attack enemy players even if there are reversed enemy servants.)
Kiyomori	BP02	BP02-038	n/a	Servant	BP02-038	C	Terra	n/a	5	Heroic Spirit/Heishi	4000	2000	An outward caution belies an inward indecision.	Continuous	This card gains [Double Corrupt] and [Hubris] as long as you control another Heishi. (Cards with [Hubris] may attack enemy players even if there are reversed enemy servants.)	Continuous	This card cannot be attacked while rested.
Vampiress	BP02	BP02-039	n/a	Servant	BP02-039	C	Terra	n/a	6	Vampire	3000	3000	Sup.	Whenever this card corrupts an orb ? Put the top card of your deck into an allied orb zone face down, as an orb.			
Praying to Deaf Ears	BP02	BP02-040	n/a	Conjure	BP02-040	U	Terra	n/a	2	n/a	n/a	n/a	Abandoned.	[Quickcast] (You may play this card any time you have priority.)	Cancel target ability of a caster.	[Quickcast] (You may play this card any time you have priority.)	Cancel target ability of a caster.
Summoning Obstruction	BP02	BP02-041	n/a	Conjure	BP02-041	U	Terra	n/a	3	n/a	n/a	n/a	Return.	[Quickcast] (You may play this card any time you have priority.)	Return target servant spell to its owner's hand.	[Quickcast] (You may play this card any time you have priority.)	Return target servant spell to its owner's hand.
Heishi's Pride	BP02	BP02-042	n/a	Barrier	BP02-042	U	Terra	n/a	5	n/a	n/a	n/a	The Heishi shall never know ruin again.	Continuous	Heishi you control gain [Hubris] as long as there are more allied Heishi than enemy servants.	At the end of your turn ? Banish a servant.	
Merril Laisse (Lv1)	BP02	BP02-043	An Minamizawa	Caster	BP02-043	R	Luna	1	n/a	n/a	n/a	n/a	I want to go to the care with Waka-chan~	"[Rest], banish this card: Search your deck for a Lv1 card named ""Saira Treverse"" and put it into the field. Then shuffle your deck. Play this ability only if you don't control a card named ""Saira Treverse""."			
Broom Schlein (Lv1)	BP02	BP02-044	Sakuya Kirishima	Caster	BP02-044	R	Luna	1	n/a	n/a	n/a	n/a	I'll try my best for the archery club!	[Rest]: Draw a card if an allied Heishi servant was put into a graveyard from a servant zone this turn.			
Lumielle (Lv1)	BP02	BP02-045	Kana Izuhara	Caster	BP02-045	SR	Luna	1	n/a	n/a	n/a	n/a	Runa~ Shall we go see Kotoko's experiments today?	[Rest]: Swap the ATK and DEF of target enemy servant until end of turn			
Glow Desire (Lv2)	BP02	BP02-046	Runa Tsukinaga	Caster	BP02-046	UR	Luna	2	n/a	n/a	n/a	n/a	Bum bada bum! Super unleash!	"Banish another ""Glow Desire"": Target allied servant gains +500 ATK until end of turn. Draw a card."	[Rest]: Target servant with ATK higher than its printed ATK gains +2000 ATK until end of turn.	"Banish another ""Glow Desire"": Target allied servant gains +500 ATK until end of turn. Draw a card."	[Rest]: Target servant with ATK higher than its printed ATK gains +2000 ATK until end of turn.
Tadanori	BP02	BP02-047	n/a	Servant	BP02-047	C	Luna	n/a	2	Heroic Spirit/Heishi	500	1000	Oh? I guess I'll just have to take advantage of that~	Continuous	"You may pay [1] less to play this card if a Heishi not named ""Tadanori"" was put into the field this turn. (This cost can't be reduced lower than 1.)"	Continuous	"You may pay [1] less to play this card if a Heishi not named ""Tadanori"" was put into the field this turn. (This cost can't be reduced lower than 1.)"
Usamaru	BP02	BP02-048	n/a	Servant	BP02-048	C	Luna	n/a	3	Youkai/Heishi	2000	1000	My heart is hopping.	[Enter] ? Draw a card.			
Goblin Thief	BP02	BP02-049	n/a	Servant	BP02-049	C	Luna	n/a	3	Cryptid	4000	4000	Wait, wait! I'm changing sides!	Whenever this card is attacked ? That attacking enemy player gains control of this card.			
