Name	Set	ImageFile	TrueName	Type	Serial	Rarity	School	Level	Cost	Race	Attack	Defense	Flavor	Ability1	Ability2	Ability3	Ability4
Top Speed	MI0	MI-001EN		Caster	MI-001EN	SR			 1 	Justice			?My broom flies through the sky at top speeds?	[Break] (When the card is added to your hand as an orb from an orb zone, you may put that card into the field as long as you do not control a caster with the same name.)	[Enter] ? Gain [Candy] if this card was put into the field without being put into the field from a hand.		
Hardgore Alice	MI0	MI-002EN		Caster	MI-002EN	SR			 1 	Justice			?I'll recover from any wound?	Pay [Candy][Candy]?Return target face down allied caster to its owner's hand.			
Top Speed, Roaring Magical Girl	MI0	MI-003EN		Servant	MI-003EN	C			2 	Justice	1000 	 1000 	Don't be unreasonable, do you want to die	[United Front](Justice)	[Enter] ? Put up to one target servant in an allied graveyard on top of your deck. Gain [Candy][Candy]. (When this card enters the field ? Perform the effect.)		
Hardgore Alice, Dark Magical Girl	MI0	MI-004EN		Servant	MI-004EN	C			5 	Justice	2000 	 2000 	I am fine, I return from anything.	[United Front](Justice)?You may pay the Solis aether cost of this card with aether of any element produced by an Justice caster.?	If this card would be put into a gravyard from the field, you may pay [Candy][Candy][Candy][Candy] instead. If you do, this card remains in the field.	[United Front](Justice)?You may pay the Solis aether cost of this card with aether of any element produced by an Justice caster.?	If this card would be put into a gravyard from the field, you may pay [Candy][Candy][Candy][Candy] instead. If you do, this card remains in the field.
Invulnerable Body	MI0	MI-005EN		Conjure	MI-005EN	C			3 	Justice			I trust only in you.	[Quickcast]	Put target servant in an allied graveyard into the field if it was put from the field into a graveyard this turn. Gain [Candy][Candy].	[Quickcast]	Put target servant in an allied graveyard into the field if it was put from the field into a graveyard this turn. Gain [Candy][Candy].
Determination	MI0	MI-006EN		Conjure	MI-006EN	C			5 	Justice			Gotcha!	Destroy target servant. Gain [Candy][Candy][Candy][Candy].	Destroy target servant. Gain [Candy][Candy][Candy][Candy].		
La Pucelle	MI0	MI-007EN		Caster	MI-007EN	SR			 1 	Justice			?My blade's size can change anytime?	[Rest]: Target allied servant. Pay any number of [Candy]. That servant gains ATK +X000 until end of turn, where X is the number of [Candy] paid this way.			
Ripple	MI0	MI-008EN		Caster	MI-008EN	SR			 1 	Justice			?My shuriken never miss?	[Rest]: Target an enemy servant and you may pay a number of [Candy] equal to its cost. If you do, destroy that servant. Play this ability only during an allied main phase.			
La Pucelle, Magical Girl Knight	MI0	MI-009EN		Servant	MI-009EN	C			4 	Justice	2000 	 2000 	I won't forgive someone as cowardly as you to call themselves a magical girl.	[Break] (When this card is put into your hand from an orb zone, you may play it immediately without paying its cost.)	[United Front](Justice)	[Enter] ? Gain [Candy][Candy]. If this card was put into the field without being played from your hand, gain an additional [Candy][Candy].	
Ripple, Magical Girl Ninja	MI0	MI-010EN		Servant	MI-010EN	C			6 	Justice	4000 	 2000 	Be quiet, Top Speed.	[United Front](Justice)	[Double Corrupt]	Whenever this card attacks ? Gain [Candy][Candy].	
Bull's-Eye	MI0	MI-011EN		Conjure	MI-011EN	C			1 	Justice			If you're selling violence, I'm not buying.	[Quickcast]	Target a servant and you may pay a number of [Candy] equal to its cost. If you do, destroy that servant.	[Quickcast]	Target a servant and you may pay a number of [Candy] equal to its cost. If you do, destroy that servant.
Oath in the Moonlight	MI0	MI-012EN		Conjure	MI-012EN	C			3 	Justice			For that purpose, I swore an oath on this blade.	[Quickcast] (You may play this card any time you have priority.)	Destroy target enemy servant attacking a player. Gain [Candy][Candy][Candy][Candy].	[Quickcast] (You may play this card any time you have priority.)	Destroy target enemy servant attacking a player. Gain [Candy][Candy][Candy][Candy].
Snow White	MI0	MI-013EN		Caster	MI-013EN	SR			 1 	Justice			?I hear the voices of troubled people?	[Rest], pay [Candy][Candy][Candy][Candy]: Search your deck for a card and put it into your hand. Then shuffle your deck.			
Tama	MI0	MI-014EN		Caster	MI-014EN	SR			 1 	Evil			?I can dig into anything?	[Rest]: Gain [Candy].			
Nemurin	MI0	MI-015EN		Caster	MI-015EN	SR			 1 	Justice			?I can enter the dreams of other people?	[Rest], pay [Candy]: Produce an aether of any element. ?Choose any one element and produce an aether of that element.?			
Snow White, New Magical Girl	MI0	MI-018EN		Servant	MI-018EN	C			7 	Justice	5000 	 4000 	Choose for yourself before you regret it.	[United Front](Justice)?You may pay the Silva aether cost of this card with aether of any element produced by an Justice caster.?	[Double Corrupt] (When this servant corrupts, it corrupts two orbs instead of one.)	[Enter] ? Return up to one target enemy servant and up to one target allied servant to their owners' hands. Gain [Candy][Candy][Candy][Candy].	
Tama, Dog Eared Magical Girl	MI0	MI-017EN		Servant	MI-017EN	C			3 	Evil	3000 	 0 	Ei!	[United Front](Evil)?You may pay the Silva aether cost of this card with aether of any element produced by an Evil caster.?	At end of turn ? Return this card to its owner's hand. Gain [Candy][Candy].	[United Front](Evil)?You may pay the Silva aether cost of this card with aether of any element produced by an Evil caster.?	At end of turn ? Return this card to its owner's hand. Gain [Candy][Candy].
Nemurin, Magical NEET Girl	MI0	MI-016EN		Servant	MI-016EN	C			1 	Justice	0 	 0 	I'll watch from here and support everyone.	[United Front](Justice)?You may pay the Silva aether cost of this card with aether of any element produced by an Justice caster.?	[Enter] ? Search your deck for a Lv1 Justice caster and reveal it. Then shuffle the rest of your deck and put the revealed card on top of it. Gain [Candy].	[United Front](Justice)?You may pay the Silva aether cost of this card with aether of any element produced by an Justice caster.?	[Enter] ? Search your deck for a Lv1 Justice caster and reveal it. Then shuffle the rest of your deck and put the revealed card on top of it. Gain [Candy].
Fatal Wound	MI0	MI-019EN		Conjure	MI-019EN	C			2 	Evil			Uwaaaaa!	[Quickcast] (You may play this card any time you have priority.)	Destroy target enemy servant with a cost of 6 or higher. Gain [Candy][Candy].	[Quickcast] (You may play this card any time you have priority.)	Destroy target enemy servant with a cost of 6 or higher. Gain [Candy][Candy].
