Name	Set	ImageFile	TrueName	Type	Serial	Rarity	School	Level	Cost	Race	Attack	Defense	Flavor	Ability1	Ability2	Ability3	Ability4
Airi	BP03	BP03-001		Caster	BP03-001	R			 1 				Hey Nonoka, what should I do?	[Rest]: Put the top three cards of your deck into your graveyard.	[Rest], banish a servant: Put target servant from an allied graveyard into your hand.	[Rest]: Put the top three cards of your deck into your graveyard.	[Rest], banish a servant: Put target servant from an allied graveyard into your hand.
Afternoon Ramie	BP03	BP03-002		Caster	BP03-002	SR			 1 				Mint tea with macarons! Totally gotta try it! ?	Whenever an allied Sweets enters the field ? Put this card from your graveyard to your hand.			
Steil Interle	BP03	BP03-003		Caster	BP03-003	SR			 1 				Efficiency before all else! Even in magic duels.	[Enter] ? Search your deck for a Sweets, reveal it and put it into your hand. Then shuffle your deck.			
Tart Chantilly	BP03	BP03-004		Caster	BP03-004	R			 1 				I wonder what club Hotaro chose.	Continuous	As long as this card is in your graveyard, you may pay 1 less to play Tengu cards. (That cost can't be reduced lower than 1.)	Continuous	As long as this card is in your graveyard, you may pay 1 less to play Tengu cards. (That cost can't be reduced lower than 1.)
Trainer	BP03	BP03-005		Caster	BP03-005	R			 1 				Nomiya-san, want some doughnuts?	[Rest], banish this card: Search your deck for a Lv 1 card named Polly and put it into the field. Then shuffle your deck. Play this ability only if you don't control a card named Polly.			
Crunchy Crunchy Rusk	BP03	BP03-006		Servant	BP03-006	C			1 	Sweets	0 	 500 	Over 10,000 rusks sold daily. Eat as many as you can~ ?				
Strawberry Daifuku	BP03	BP03-007		Servant	BP03-007	C			3 	Sweets	3000 	 3000 	Eat it while it's fresh~?	[Enter] ? You may discard a Sweets. If you don't, banish this card.			
Yakushi Bou TENGU48	BP03	BP03-008		Servant	BP03-008	C			4 	Tengu	1000 	 1000 	Now you can have your cake AND eat it! ?? Yummy!	[Break]	At end of turn ? Put this card on the bottom of its owner's deck.	[Enter] ? Look at target enemy orb, then return it. If this card was put into field without being played from hand, corrupt that enemy orb instead.	At end of turn ? Put this card on the bottom of its owner's deck.
Nikko Bou TENGU48	BP03	BP03-009		Servant	BP03-009	C			5 	Tengu	3000 	 3000 	Don't bite off more than you can chew.	At end of turn ? Put this card on the bottom of its owner's deck.			
Kamiel of Temperance	BP03	BP03-010		Servant	BP03-010	R			7 	Angel / Earnest	4000 	 4000 	Prayers preserve temperance.	[Double Corrupt]	[DCT](1)?[Enter] ? Each player puts a servant from their graveyard to their hand. Then, you may pay any amount of aether. You may put a servant with a cost equal to or less than the amount of aether payed this way plus three from your hand into the field.	[Double Corrupt]	[DCT](1)?[Enter] ? Each player puts a servant from their graveyard to their hand. Then, you may pay any amount of aether. You may put a servant with a cost equal to or less than the amount of aether payed this way plus three from your hand into the field.
